XingYaoId	XingYaoTypeId	XingYao
1	1	紫薇
2	1	天机
3	1	太阳
4	1	武曲
5	1	天同
6	1	廉贞
7	1	天府
8	1	太阴
9	1	贪狼
10	1	巨门
11	1	天相
12	1	天梁
13	1	七杀
14	1	破军
15	2	火星
16	2	铃星
17	2	擎羊
18	2	陀罗
19	3	左辅
20	3	右弼
21	3	天魁
22	3	天钺
23	3	文昌
24	3	文曲
25	3	禄存
26	3	天马
27	4	地劫
28	4	地空
29	4	龙池
30	4	凤阁
31	4	天哭
32	4	天虚
33	4	红鸾
34	4	天喜
35	4	孤辰
36	4	寡宿
37	4	天德
38	4	月德
39	4	华盖
40	4	天才
41	4	天寿
42	4	破碎
43	4	咸池
44	4	大耗
45	4	蜚廉
46	4	天空
47	4	旬空
48	4	截空
49	4	天厨
50	4	天月
51	4	天刑
52	4	天姚
53	4	天巫
54	4	解神
55	4	阴煞
56	4	台辅
57	4	封诰
58	4	三台
59	4	八座
60	4	恩光
61	4	天贵
62	4	天官
63	4	天福
64	4	龙德
65	4	年德
66	5	长生
67	5	沐浴
68	5	冠带
69	5	临官
70	5	帝旺
71	5	衰
72	5	病
73	5	死
74	5	墓
75	5	绝
76	5	胎
77	5	养
78	6	太岁
79	6	晦气
80	6	丧门
81	6	贯索
82	6	官府
83	6	小耗
84	6	岁破
85	6	龙德
86	6	白虎
87	6	天德
88	6	吊客
89	6	病符
90	7	将星
91	7	攀鞍
92	7	岁驿
93	7	息神
94	7	华盖
95	7	劫煞
96	7	灾煞
97	7	天煞
98	7	指背
99	7	咸池
100	7	月煞
101	7	亡神
102	8	博士
103	8	力士
104	8	青龙
105	8	小耗
106	8	将军
107	8	奏书
108	8	飞廉
109	8	喜神
110	8	病符
111	8	大耗
112	8	伏兵
113	8	官府
114	9	流昌
115	9	流曲
116	4	劫煞
117	4	天伤
118	4	天使
